Sentence_Type,Class_Type,,,
"
there's only two direct or non-stop flights from San Diego to Ontario",statement,,,
"
who is the first traveller going to be",question,,,
"
you just quote that reference number tomorrow",statement,,,
"
the 4th",statement,,,
"
and that's again the same of of applications of four stop overs uh for minimum maximum of 15",statement,,,
"
and what is your last name",question,,,
"
and that's leaving Manchester at 6:11   erm",statement,,,
"
we're going San Francisco to Syracuse",statement,,,
"
did you need any hotels for this",question,,,
"
and when would you like to return",question,,,
"
i should have bet you",statement,,,
"
 can i just get it for that d...",question,,,
"
but it would probably be something like the uh 19th of September",statement,,,
"
i've already made it with um EEE FFF",statement,,,
"
what does that mean then",question,,,
"
only because we're having a lot of seat problems",statement,,,
"
 you're travelling from Birmingham New Street at 13:15",statement,,,
"
then that'll also be printed on his itinerary",statement,,,
"
she said it had to be ticketed today for the 100 1124 dollar flight",statement,,,
"
tomorrow the 2nd",statement,,,
"
that's the Boston Government Center it's called",statement,,,
"
i'd like to travel",statement,,,
"
 you're changing at Crewe",statement,,,
"
this is called a Super Advance Return",statement,,,
"
should i wait till Monday",question,,,
"
let me",command,,,
"
i'm checking a couple different carriers just to compare them before i give you the fare on this",statement,,,
"
i see a 7:45 p m departure on United",statement,,,
"
it is available on Tuesday morning at 1:05 in the morning",statement,,,
"
the right date",statement,,,
"
what flights do you want to have him on",question,,,
"
let me make sure i can get your seats non smoking windows on all flights",command,,,
"
because the system could a... actually cut me off trying to book",statement,,,
"
we have one tha... on Air Canada that goes to Toronto huh",statement,,,
"
he can do so",statement,,,
"
i'm just checking for the Thursday on the return",statement,,,
"
this would uh increase it by 40 dollars",statement,,,
"
 i've got er just heard the other one er was  14 something",statement,,,
"
and you're going to pay for cash",statement,,,
"
we'll try Wrexham Central",statement,,,
"
she said that if we don't ticket",statement,,,
"
you get a full refund within 21 days of the flight",statement,,,
"
what airline is this",question,,,
"
so if you left on a Saturday",statement,,,
"
it would be on the the 5th",statement,,,
"
i have a question",statement,,,
"
what can i help you with",question,,,
"
and how's it going to be paid for",question,,,
"
let's sign him up with whatever we can",command,,,
"
i need to know uh business class round trip uh fare for uh San Francisco to uh Baron Switzerland",statement,,,
"
it would be nice to leave about 12",statement,,,
"
 and how much did the super...",question,,,
"
we've gotten the car in uh in at LAX from wh... wh... what rental agency",statement,,,
"
do you want to do",question,,,
"
show your credit card",command,,,
"
i'm going to set these up to be issued on Monday",statement,,,
"
i'm afraid that's not possible with that type of ticket for travelling tomorrow",statement,,,
"
can you confirm your address for me",question,,,
"
what do you want to do",question,,,
"
if your sister calls you back and says that she doesn't want it",statement,,,
"
i'll have the ticket's over to you today",statement,,,
"
and the Barclay card number is",statement,,,
"
would the price have gone up if i had called just a couple days in advance",question,,,
"
as i said they don't offer night service from the west coast to Tokyo",statement,,,
"
 you've actually passed the booking deadline now",statement,,,
"
it's Airport Connection",statement,,,
"
and there are three seats in the center of the plane and then two seats again",statement,,,
"
 so there's availability on the 10:11 and 12 o'clock train",statement,,,
"
the total amount debited is 38 pounds",statement,,,
"
you would be paying as high as",statement,,,
"
is that Birmingham New Street",question,,,
"
cos the time zone's in our v... our favor coming  this direction",statement,,,
"
and about what time",question,,,
"
that's a good idea  to do that",statement,,,
"
 why not",question,,,
"
but it won't be earlier than that",statement,,,
"
you are able to get the next available train",statement,,,
"
we would force",statement,,,
"
this is to San Jose did you say",statement,,,
"
i... it's a through train",statement,,,
"
were you looking at leaving after work around 5 p mish or something",question,,,
"
 and what time around",question,,,
"
 and i've booked forward facing non-smoking table seats",statement,,,
"
let me give you",command,,,
"
what time is the pickup",question,,,
"
 and the next line",statement,,,
"
so you prefer to leave that open",statement,,,
"
this is B C WWW",statement,,,
"
so that leaves it open",statement,,,
"
and do you have a charge number at this time",question,,,
"
what time um",question,,,
"
they have like a 6:15",statement,,,
"
and when will we get that",question,,,
"
you said on the 8th of August",statement,,,
"
so i'm just booking it for them",statement,,,
"
we need the full credit card details address",statement,,,
"
and this is your reference number to quote at the train station",statement,,,
"
it's 1 7 1",statement,,,
"
it's Continental at 15 hundred",statement,,,
"
it's Friday the 9th of October  from Liverpool Lime Street to Edinburgh",statement,,,
"
you must cancel by 6 o'clock the day before your outward travel",statement,,,
let me put in um that we don't need that,command,,,
"
i'm glad",statement,,,
"
or they have a 6 p m",statement,,,
"
i need to go in from San Francisco to Wild Wood New Jersey and return",statement,,,
"
and i'll get hold of him",statement,,,
"
 that's Ilford Essex",statement,,,
"
if if that's poss...",statement,,,
"
this is B C",statement,,,
"
and the ticket will be waiting there for you",statement,,,
"
the last flight out is going to be at 1:47 p m on TWA",statement,,,
"
and i have to implement all this first",statement,,,
"
if you collect the tickets 90 minutes before departure time at the train station",statement,,,
"
i was i changed at Stafford",statement,,,
"
this is C",statement,,,
"
but the last part from  Crewe to Hertford is a  Central train",statement,,,
"
but you need a letter of authorisation",statement,,,
"
can i put you on hold for just a sec",question,,,
"
i'm just going to check to see what's your cheapest fare available  to you",statement,,,
"
do you have a railcard at all",question,,,
"
let me check where Wild Wood is here",command,,,
"
this is your reference number to quote at the train station on Saturday",statement,,,
"
and  that's subject to availability",statement,,,
"
it's going to go via Newark",statement,,,
"
that that 10  25 gets me in at what time",statement,,,
"
if he wanted to go without a penalty",statement,,,
"
it's B",statement,,,
"
just as long as it's not on the Friday",statement,,,
"
i'm just going to check to see what's your cheapest fare available to you",statement,,,
"
is it for domestic or international",question,,,
"
have you been quoted a fare for the journey",question,,,
"
that's about the earliest one",statement,,,
